Order_ID,Order_Date,Customer_ID,Customer_Name,  Gender,Age,Country,Region,Product_ID,Product_Name,Category,Sub_Category,Quantity, Unit_Price ,Discount, Revenue ,Cost , Profit ,Payment_method ,Sales_Channel ,Shipping_Days ,Returned, Customer_Rating
1001,09/01/2009,201,John Smith,Male,32,USA,North,501,iPhone 13,Electronics,phone,2,900,0.05,1710,1200,510,Credit Card,Online,3,No,5
1002,10/01/2009,202,Sarah Brown,Female,28,UK,West,502,Running Shoes,Sports,Shoes,1,120,0.1,108,70,38,Debit Card,Store,5,No,4
1003,11/01/2009,203,David Wilson,Male,41,Canada,East,503,Laptop Pro,Electronics,Laptop,1,1500,0.08,1380,1000,380,PayPal,Online,4,No,5
1004,12/01/2009,204,Emma Johnson,Female,35,USA,South,504,Office Chair,Home,Chair,2,800,250,0.05,475,320,Credit Card,store,7,No,4
1005,13/01/2009,205,Anthony Walsh,Female,22,USA,West,505,Galaxy A07,Electronics,phone,5,900,0.05,1710,1200,510,Credit Card,Online,,No,3
1006,14/01/2009,206,Otto Mian,Female,28,USA,South,506,Basketball,Sports,Ball,2,120,0.1,108,70,38,Credit Card,Store,,No,5
1007,15/01/2009,207,Lana Del,Female,29,USA,South,507,Summer dress,Clothing,Dress,1,1500,0.08,1380,1000,380,Credit Card,Online,,No,4
1008,16/01/2009,208,Vivian June,Female,30,USA,East,508,Denim Jacket,Clothing,Jacket,1,900,0.05,1710,1200,510,Credit Card,store,,No,3
1009,17/01/2009,209,Ken Benson,Female,31,USA,North,509,Blue hat,Clothing,Hat,1,120,0.1,108,70,38,Credit Card,Online,,No,4
1010,18/01/2009,210,Ken Benson,Female,20,USA,West,510,Cookware,Home,Pot,1,900,0.05,1710,1200,510,Credit Card,Store,,No,4
1011,19/01/2009,211,Ben Hardy,Male,60,USA,North,511,Ladle,Home,Spoon,1,120,0.1,108,70,38,Credit Card,Online,,No,4
1012,20/01/2009,212,Stephen Woods,Male,29,USA,South,512,iPhone 13,Electronics,phone,1,1500,0.08,1380,1000,380,Credit Card,Online,,No,4
1013,21/01/2009,213,Jerry Allen,Male,40,USA,East,513,Running Shoes,Sports,Shoes,1,900,0.05,1710,1200,510,Credit Card,Online,,No,5
1014,22/01/2009,214,Otto Mian,Male,21,Canada,North,514,Laptop Pro,Electronics,Laptop,1,120,0.1,108,70,38,PayPal,Store,,No,5
1015,23/01/2009,215,Lana Del,Male,45,Canada,West,515,Office Chair,Home,Chair,1,1500,0.08,1380,1000,380,Debit Card,Online,,No,5
1016,24/01/2009,216,Vivian June,Male,45,Canada,West,516,Galaxy A07,Electronics,phone,1,900,0.05,1710,1200,510,PayPal,Online,,No,3
1017,25/01/2009,217,Marian Rose,Female,45,Canada,North,517,Basketball,Sports,Ball,1,120,0.1,108,70,38,Credit Card,Store,,No,5
1018,26/01/2009,218,Jenny Mira,Female,45,Canada,West,518,Summer dress,Clothing,Dress,1,1500,0.08,1380,1000,380,Debit Card,Online,,No,4
1019,27/01/2009,219,Kira Benson,Female,45,Canada,East,519,Denim Jacket,Clothing,Jacket,1,800,250,0.05,475,320,PayPal,Online,,No,5
1020,28/01/2009,220,Bently Hogan,Female,21,Canada,South,520,Blue hat,Clothing,Hat,1,900,0.05,1710,1200,510,Credit Card,Store,,No,3
1021,29/01/2009,221,Hughes Jenny,Female,67,Canada,West,521,iPhone 13,Electronics,phone,1,120,0.1,108,70,38,Debit Card,Online,,No,4
1022,30/01/2009,222,Ishmael Jones,Female,69,Canada,South,522,Running Shoes,Sports,Shoes,1,1500,0.08,1380,1000,380,PayPal,store,,No,4
1023,31/01/2009,223,Lizzy Luis,Female,71,Canada,South,523,Laptop Pro,Electronics,Laptop,1,800,250,0.05,475,320,Credit Card,Online,,No,5
1024,01/02/2009,224,Dean Terry,Male,73,Canada,East,524,Office Chair,Home,Chair,1,900,0.05,1710,1200,510,Credit Card,Store,,No,5
1025,02/02/2009,225,Johnny Woods,Male,75,Canada,North,525,Galaxy A07,Electronics,phone,1,120,0.1,108,70,38,Credit Card,Online,,No,4
1026,03/02/2009,226,John Smith,Female,77,Canada,West,526,Basketball,Sports,Ball,1,1500,0.08,1380,1000,380,Credit Card,store,,No,5
1027,04/02/2009,227,Sarah Brown,Male,49,Canada,North,527,Summer dress,Clothing,Dress,1,900,0.05,1710,1200,510,Credit Card,Online,,No,4
1028,05/02/2009,228,David Wilson,Female,50,Canada,South,528,Denim Jacket,Clothing,Jacket,1,120,0.1,108,70,38,Credit Card,Store,,No,3
1029,06/02/2009,229,Emma Johnson,Female,51,Canada,East,529,Blue hat,Clothing,Hat,1,900,0.05,1710,1200,510,Credit Card,Online,,No,5
1030,07/02/2009,230,Anthony Walsh,Male,52,Canada,North,530,iPhone 13,Electronics,phone,1,120,0.1,108,70,38,Credit Card,store,,No,4
